lower_limit,left_limit,upper_limit,right_limit,input_text
7.0,93.5,7.25,93.75,B46D12
7.25,93.75,7.5,94.0,B46D15
7.0,93.75,7.25,94.0,B46D16
7.75,93.25,8.0,93.5,B46D5
7.75,93.5,8.0,93.75,B46D9
11.5,72.5,11.75,72.75,C43A10
11.0,72.5,11.25,72.75,C43A12
11.5,72.0,11.75,72.25,C43A2
11.25,73.0,11.5,73.25,C43B3
11.5,75.5,11.75,75.75,C43D10
11.25,75.5,11.5,75.75,C43D11
11.75,75.75,12.0,76.0,C43D13
11.5,75.75,11.75,76.0,C43D14
11.25,75.75,11.5,76.0,C43D15
11.0,75.75,11.25,76.0,C43D16
11.75,75.25,12.0,75.5,C43D5
11.5,75.25,11.75,75.5,C43D6
11.75,75.5,12.0,75.75,C43D9
11.75,76.0,12.0,76.25,C43E1
11.5,76.5,11.75,76.75,C43E10
11.25,76.5,11.5,76.75,C43E11
11.0,76.5,11.25,76.75,C43E12
11.75,76.75,12.0,77.0,C43E13
11.5,76.75,11.75,77.0,C43E14
11.25,76.75,11.5,77.0,C43E15
11.0,76.75,11.25,77.0,C43E16
11.5,76.0,11.75,76.25,C43E2
11.25,76.0,11.5,76.25,C43E3
11.0,76.0,11.25,76.25,C43E4
11.75,76.25,12.0,76.5,C43E5
11.5,76.25,11.75,76.5,C43E6
11.25,76.25,11.5,76.5,C43E7
11.0,76.25,11.25,76.5,C43E8
11.75,76.5,12.0,76.75,C43E9
11.75,77.0,12.0,77.25,C43F1
11.5,77.5,11.75,77.75,C43F10
11.25,77.5,11.5,77.75,C43F11
11.0,77.5,11.25,77.75,C43F12
11.75,77.75,12.0,78.0,C43F13
11.5,77.75,11.75,78.0,C43F14
11.25,77.75,11.5,78.0,C43F15
11.0,77.75,11.25,78.0,C43F16
11.5,77.0,11.75,77.25,C43F2
11.25,77.0,11.5,77.25,C43F3
11.0,77.0,11.25,77.25,C43F4
11.75,77.25,12.0,77.5,C43F5
11.5,77.25,11.75,77.5,C43F6
11.25,77.25,11.5,77.5,C43F7
11.0,77.25,11.25,77.5,C43F8
11.75,77.5,12.0,77.75,C43F9
10.75,72.0,11.0,72.25,C43G1
10.5,72.5,10.75,72.75,C43G10
